"( S) Saksa","Sáksi"
"keltasinappi","fiskessennet"
"keltasirkku","Fiskescihci, fiskescihci"
"keltatauti","fiskesdávda"
"keltatikka","fiskesčáihni"
"keltavästäräkki","fiskesbeštor, lullifiskesbeštor"
"keltavästäräkki","fiskescizáš"
"keltavästäräkki","muhkkecizáš"
"keltavuokko","fiskesnásti"
"keltuainen (kananmunan)","fiskadas"
"kelvata (pidettäväksi)","anihit"
"kelvata","anihit, dohkket, gealbidit (R)"
"kelvata; olla sovelias(ta)","dohkket"
"kelvollinen","gelbbolaš; olla kelvollinen (verkosta, dohkálaš, ansasta) čáŋahit, dohkálaš, gelbbolaš"
"kelvollinen","gelbbolaš"
"kelvollinen; pätevä","dohkálaš"
"kelvollisuus","gelbbolašvuohta, dohkálašvuohta"
"kelvoton","guttah/eapme (-is), dohkkemeahttun; tulla kelvottomaksi gealbbohuvvat, gealbboh/eapme (-is), dohkkemeahttun:m, gealbboheapme, guttahuvvat, gávnneh/eapme (-is), guttaheapme, gávnnehuvvat, (ihmisestä) návccaheapme"
"kelvoton, mahdoton hyväksyä; epäkelpo, epäpätevä","dohkkemeahttun"
"kelvottomuus","gealbbohisvuohta, gávnnehišvuohta, guttahisvuohta"
"kemia","=, kemiija"
"kemiallinen","kemihkalaš, kemiijalaš"
"kemiallinen","kemiijalaš"
"kemiallis-teknillinen tiedekunta","kemiija-teknihkalaš dieđagoddi"
"kemikaali","kemikála"
"kemikaali","kemikálat"
"kemisti","kemista"
"ken (gen.sg. kenen, part.sg. ketä)","gii (g.a.sg. gean)"
"kenelläkään","geastige ~ geastege ~ geasge"
"kengänkanta","jocca"
"kengännauha","gámabáddi"
"kengänpaula","vuotta"
"kengänpaula","vuotta, -dd-:g"
"kengänpohja","gámavuođđu"
"kengänpohjan ylös taipuva osa, reuna","reašmmus"
"kengässä oleva heinä, heinitys, jossa on sija jalkaa varten; (yhdestä kengästä otettu) kenkäheinä","liehppa"
"kengittää","gámahit, gámahit; (hevosta) skuv'vet, gámahit"
"kengittää, heinittää kenkä ja panna se (esim. lapsen) jalkaan","gámahit"
"kenkä","ruma kenkä) šlohtor (karvakenkä ks. nutukas), (pikkukenkä) skuovva; heinittää kenkä ja vetää se jalkaansa gámadit, gáma; pikkukenkä skuovva, -pm-:g, (iso, gáma"
"kenkä; (sukan) terä","gáma"
"kenkäheinä","gámasuoidni; kerätä (ja muokata) kenkäheinää suidnet, gámasuoidni"
"kenkäheinäkerä","suoidnefierra"
"kenkäheinäkimppu (sormainen)","bonjaldat"
"kenkäheinäkimppu","bonjaldat"
"kenkäheinäkimppu, sormainen","bonjaldat"
"kenkälusikka","gámabaste"
"kenkiä","gámadit"
"kenkiä, heinittää kenkä ja vetää se jalkaansa","gámadit"
"kenkkäri (häissä)","skeaŋkár"
"kenkku","árvvoh/eapme (-is), birolaš, árvvoheapme ~ árvvuheapme, suohpáh/eapme (-is)"
"kenkkuilla","cihppošit, suohpáhuddat, árvvohuššat, guohccut, guohcistit, birostit"
"kenno","seal'la"
"kenopää, poro, jonka sarvet ovat takakenossa","njavčč'oaivi"
"kenopää, taaksepäin kenottava esine tai olio","njakči"
"kenosarvi (poro, jonka sarvet ovat etukenossa)","snog’oaivi"
"kenosarvi (porosta, sarvet takakenossa)","njáide, njavččoaivi"
"kenosarvi (porovaatimesta); sutjakka olio (esine tai eläin)","njággu"
"kenosarvi (takakenosarvinen porovaadin)","njabbi"
"kenosarvi, naiti","njáide"
"kenosarvinen (porovaatimesta), sutjakka (eläimestä tai esineestä)","njákkas"
"kenossa","(taakse) njakčut, (eteen) njahkut, (sivulle) gárgŋut, hál'lut ~ hállut"
"kenossa, kallellaan","čuidnut"
"kenottaa (taaksepäin)","njakčát; (eteenpäin) njahkkát, (eteenpäin) njahkkát, njakčát"
"kenottaa, könöttää (etukenossa)","snohkkát"
"kenottaa, könöttää, olla kumarassa, nuokkua","njahkkát"
"kenottava (taaksepäin)","njagu-, (eteenpäin) njagas, -hk-#njagu, njakče-"
"kenoviiva","njakčesáhcu"
"kenraali (mil.)","generála; kenraalimajuri generálamájor, kenraaliluutnantti generálalutnánta"
"kenraali","generála"
"kenraalikuvernööri","generálakuverneara, generálaguvernevra"
"kenraaliluutnatti","generálalevtnánta"
"kenraalimajuri","generálamajuvra"
"kenties","ammal, várra, giidiehtá; kenties tulee soaitá ~ sáhttá ~ dáidá boahtit, kenties tulee soaitá boahtit, kánske, dáidá boahtit"
"kenttä","gieddi, jalga, šillju, jalga; (kortissa) gieddi, giettádat"
"kenttä, nurmikko, aho","gieddi"
"kenttä, nurmikko, aho, pelto","gieddi"
"kenttää muistuttava paikka","giettádat"
"kenttäkerros (biol.)","gieddegeardi"
"kenttäturve","gieddelavdnji"
"kenttätyö","gieddebargu"
"kepakko","ajoporon tökkimiseen) skárba, (lyhyehkö, soabbi, muorra"
"kepakkomainen, lehdetön (oksista); surkuteltava","skárbbas"
"kepeä","-hpp-#geahppa ~ gehppes, ge/ahppat (-hppes), geahp/as (-pa), geahppat:d#-is ~ gehppes, geahpas"
"kepeästi","geahppasit"
"keppi","(puisteluun, soabbi; kulkea kepin avulla soabbut, soabbi, lumen tms. kopisteluun vaatteista) savdnjin- ~ savdnjenimuorra; kulkea kepin avulla soabbut"
"keppi, sauva, seiväs","soabbi"
"kepponen","vilpa"
"kepponen","vilpa, hilbošeapmi, hilbošeapmi, vilpa"
"kerä","nođđu"
"kerä","nođđu, oaivvahat; kerällä nođđosis, oaivvahat, kerälle nođđosii"
"kerä","oaivvahat"
"kera","sipulin kera lávkkiin, kavereiden kera skihpáriiguin, ystävien kera ustibiiguin, voin kera vuojain"
"kerääntyä (esineistä); soveltua kerättäväksi, poimittavaksi","čoaggásit"
"kerääntyä (monet tai vähin erin)","čohkiidaddat"
"kerääntyä","čoahkkanit, gártat, čohkiidit, čoagganit; (kertyä) coggot, coahkkanit, čoagganit; (kertyä) čoggot, cohkiidit"
"kerääntyä, kertyä, kokoontua","čoagganit"
"kerääntyä, muodostua","čohkiidit"
"keräelmä","-oggo-, čoakkus, čoakkáldat"
"keräelmä, kokoelma","čoakkáldat"
"keräilijä","čoaggi, doaggi, ="
"keräillä (tarmokkaasti)","čoaggáladdat"
"keräkaali","lašpa, nođđogálla"
"kerake (kiel.)","konsonánta"
"kerake","konsonánta"
"keräkurmitsa","láfol"
"keräkurmitsa","láfol, Láfol"
"kerällä oleva","nođus"
"keramiikka-ja lasisuunnittelun osasto","keramihka- ja láseplánema ossodat"
"keräpääpoimulehti","rivgovuolpu"
"kerätä (koivun)pökkelöitä","stohkket"
"kerätä munia; munia","manˈnet"
"kerätä ruskolevää","stárˈret"
"kerätä sulkia; levittää, pudotella sulkia","dolget"
"kerätä untuvia; vuorata untuvilla","uvjet"
"kerätä väinönputkia","fádnet"
"kerätä","čoakkašit, doahput, čoaggit, boaibmut, čoakkildit"
"keräys","doaggin:m, čoaggin"
"kere, reuna (rasian, vakan); reunakappale (naisenlakissa, ommellussa sisnapussissa)","reaska"
"kerho","-ggá-:Ø, riekkis, searvi"
"keriä (kerälle tai ympärille)","(vyyhdelle) vikšadit, (vetää) duohpat, giessat, (vyyhdelle) vikšadit; (vetää) duohpat"
"keripukki","skurbbet"
"keripukki","skurbbet, skurbbet:g, caggi, caggi"
"keritä (tehdä jotakin)","eannehit, geargat, háhppehit, munahit, noddet; (jostakin) geargat, gearggehit, spáitet"
"keritä (usein tai useita)","beaskádallat"
"keritä","keritä vaivoin, Joavdat, beaskidit, ~ kerjetä geargat, tahtoa keritä gearggastuvvat; ol'let"
"keritä, ennättää (tehdä jtak tai jnnek)","munahit"
"keritä, kerjetä (työnteosta tms., äkkiä)","gearggihit"
"keritä, kerjetä vaivoin, tahtoa keritä","gearggastuvvat"
"keritä, kerjetä; tulla valmiiksi, valmistua","geargat"
"keritä, leikata (karvaa, tukkaa)","beaskidit"
"keritsimet (pl.)","skár'rit (pl.), skierat (pl.)"
"keritty","beaskká-"
"kerityttää (esim. lampaita); soveltua kerittäväksi","beaskidahttit"
"kerjäläinen","gearjahaš, vuorji, gearjideaddji, =, vuorjjildeaddji, ánuheaddji"
"kerjäläinen","gearjideaddji"
"kerjäläinen, kuokkavieras, siivelläeläjä","gearjahaš"
"kerjätä","gearjidit"
"kerjätä","gearjidit; (hellittämättä) vuorjat, gearjidit, vuorjat (ks. ruinata), goardit, ánuhit"
"kerjetä","ks. keritä"
"kerjuu","gearjádus"
"kerjuu","gearjádus, gearjideapmi, ánuheapmi"
"kerjuu","gearjideapmi"
"kerkeä","fargat, gearga/t (-dis), geargat:d#-is ~ gerges"
"kerkeä, nopea","fargat"
"kerkko, leikari","viergu"
"kerma","gahpa, lákca, lákca; pintakerma gahpa"
"kerma","lákca"
"kermainen","lákc/ii (-es); gahppá/i (-s), gahpp/ii (-es), lákcá/i (-s)"
"kermaton","lávccah/eapme (-is)"
"kermavaahto","fir'ron lákca, lákcasokta"
"kermaviili","loahppelákca"
"kermi, kaarto, kuiva kohta suossa","goikkáš"
"kermikäntalja","čearpmahat"
"kermikkä (poro n. vuoden vanhasta seuraavaan syksyyn tai ensimmäisestä talvestaan seuraavaan syksyyn asti)","čearpmat"
"kermikkä (poro n. vuoden vanhasta seuraavaan syksyyn tai ensimmäisestä talvestaan seuraavaan syksyyn asti)","čearpmat:h"
"kermikkä (poro vuoden vanhasta seuraavaan syksyyn)","čearpmat"
"kermoa (maitoa), kuoria (keittoa, maitoa), kummata","lavdit"
"kermoittua (maidosta)","gahput"
"kermoittua","lákcut"
"kermoittua","lákcut, gahput"
"kermottu; vähäkermainen","lávccaheapme"
"kernaasti","mielas, millosit"
"kerni, ohut hanki; utarerupi","geardni"
"kerokaula, urosporo, jonka kaulakarvat ovat katkeilleet rykimäajan tappeluissa","garrán"
"kerppo, lehdes, lehtikerppo","lasttat"
"kerralla (saman tien, oitis)","ovttatmano; tekaisi sen kerralla valmiiksi gergestii dan ovttatmano"
"kerralla","ovttatmano, hávil, hávális, háválassii"
"kerralla, kerrallaan","hávil"
"kerrallaan","hávil, hávális, háválassii"
"kerrallaan, kerralla; tällä kertaa, tällä kerralla","háválassii"
"kerran (koska kerran)","gearddi ~ geardde"
"kerran","(erään) kerran gearddi ~ geardde, gearddi ~ geardde, okte ~ oktii, kun ~ koska kerran go juo, taas kerran ohpit, oktii; kerran minulle sattui siten oktii munnje geavai nie"
"kerran","oktii"
"kerrassaan","beanta, njulgestaga, áibbas, visot, duođai(d); (täysin) oalát"
"kerrata","gearddahit, geardduhit"
"kerrata, kertoa (köyttä)","gearddahit"
"kerrata, toistaa (kerran)","gearddastit"
"kerroin (mat.)","koeffisienta, gerddon"
"kerroin","gerddon"
"kerroin","koeffisienta, gerddon"
"kerroksellinen","gearddalaš"
"kerronta","muitaleapmi"
"kerros (talossa)","etáša"
"kerros","geardi; (rakennuksessa) geardi, geardi; (talossa) geardi, etáša"
"kerrossammal","geardesámil, -mmá-"
"kerrostaa","bordit"
"kerrostalo","geardedállu"
"kerrostua","gearddástuvvat"
"kerrostuma","gearddádat"
"kerrostuma","geardi, gearddádat"
"kerrottava (mat.)","geardudahtti"
"kerrottava (matem.)","geardudahtti"
"kerrottava","-epmo-, muitaleamoš, muitaleamos, sáhka"
"kersantti (mil.)","seršánta"
"kersantti","seršánta"
"kerskaileva","-mp-, rámppas"
"kerskailija","rámpa"
"kerskailla","rámádallat, rámppastallat, čevllohallat, rámohallat"
"kerskailla, kerskua, leveillä","gerˈret"
"kerskakulutus","runzen"
"kerskakulutus","skievttardangolahus"
"kerskata","valjástallat"
"kerskata, levennellä; olla ylenpalttinen; ottaa aimo annos","valjástallat"
"kerskua","rámádallat, rámohallat, rámohallat, rábmot, rámpot"
"kerskuri","rámohal'li, rámpa"
"kerskuri, ylvästelijä","rámpa"
"kerta kaikkiaan; kokonaan, kokonaisuudessaan","oppalohkái"
"kerta","hávvi"
"kerta","monta kertaa parempi máŋgga geardde ~ gear buoret, pari kertaa moatte geardde, moatte háve, tällä kertaa dán háve ~ geardde, máŋgga geardde, joka kerta juohke háve ~ geardde, ain; kerta kaikkiaan oppalohkái; (tietyllä) kertaa tapahtunut -háváš:ž, geardi, hávvi, -gearddáš:ž, máŋgga háve, dán geardde, nuppe háve, sillä kerralla dan háve ~ geardde, toisen kerran nuppe geardde, pari kertaa moatte geardde ~ háve, sillä kertaa, hávvi; monta kertaa ollu gerddiid, monta kertaa olu gerddiid ~ háviid, nuppádis, máŋgga geardde ~ háve, kerta kaikkiaan oppalohkái, kaksi kertaa guavtte geardde ~ háve, moddii, nuppes, máŋgii, toisen kerran nuppádis, tällä kertaa dán háve"
"kerta","rássa"
"kerta; kerros, kerrostuma","geardi"
"kertailla","geardut, gerddodit"
"kertailla, toistaa; kertoa (matem.); punoa (yhteen)","geardut"
"kertakaikkinen","ovttaháválaš"
"kertakaikkinen, kerrallinen","ovttaháválaš"
"kertakorvaus","ovttaháválaš"
"kertaluonteinen","geardelunddot, gearddelunddot:g"
"kertaluotto","ovttaháválaš"
"kertamaksu","ovttaháválaš"
"kertasuoritus","ovttaháválaš"
"kertaus (lanka, säie); koristenauha, sivunauha (naisen lakissa)","geardda"
"kertaus","geardduheapmi"
"kertaus","geardduheapmi, gearddahus, geardda, gearddaheapmi"
"kertausharjoitus","geardunhárjehallan, geardduhanhárjehus"
"kertoa (mat.)","geardut"
"kertoa (nuoraa), punoa (tiukkaan); puistaa päätään","bárdit"
"kertoa (tosiasiana; usein tai useita asioita); pyydellä","beakkuhit"
"kertoa","(tosiasiana; usein tai useita asioita) beakkuhit; (matem.) geardut; (paljastaa) iktit, tarina) máinnastit, (satu, muitalit, nohkkot ságainis, máinnastit; (ohimennen) muitalastit; kova kertomaan máinnasseahkka; jäädä ilman kerrottavaa ságahuvvat"
"kertoa, esittää, muistella","muitalit"
"kertoilla","(satuja, tarinoita) máinnastallat, muitaladdat, máinnastallat"
"kertoilla, pakinoida","muitaladdat"
"kertoja (mat.)","geardudeaddji"
"kertoja (matem.), (tulon) tekijä","geardudeaddji"
"kertoja","(satujen, muitaleaddji, tarinoiden) máinnasteaddji, ="
"kertoja, muistelija","muitaleaddji"
"kertokyky","gierdannávccat (pl.)"
"kertolasku (mat.)","geardun, geardunluoitu, geardunrehket"
"kertolasku","geardun"
"kertolasku","geardun:m, geardunjuoitu"
"kertomakirjallisuus","muitalangirjjálašvuohta, prosá"
"kertomus","muitalus; (esim. vuosikertomus) dieđáhus, muitalus"
"kertomus, muistelus; erityisen, tosi; muistamisen arvoinen, erikoinen","muitalus"
"kertotaulu","gearduntábeal'la, gearduntabeal'la"
"kerttu","vizar"
"kerttunen","vizar"
"kerttunen, kerttu","vizar"
"kertyä","gártat, kertyvät varat (pl.) doggon várit (pl.), coggot, čoggot, duksanit"
"kertyä, kasaantua","čoggot"
"keruu","čoaggin:m, čoaggin"
"kesä","geassi; tulla kesä geassut, tänä kesänä dán gease ~ dán geasi, geassi, tulla kesä geassut, ensi kesänä boahtte gease ~ boahtte geasi"
"kesä, suvi","geassi"
"kesäaamu","geasseiđit:d, geasseiđit"
"kesäaika","geasseáigi, geasseáigi; (muiden vuodenaikojen vastakohtana) geaseáigi"
"kesääntyä (hapantua, kalasta)","geassáduvvat"
"kesäasuinpaikka, kesälaidunalue","geasseorohat"
"kesähelle","geassebáhkka; kesähelteellä geassebáhkkan, kesähelteellä geassebáhkkan, geassebáhkka"
"kesähuvila","geassestohpu"
"kesäilta","kesäiltana geasseeahkeda, kesäiltoina geasseeahkediid, geasseeahket; kesäiltana geasseeahkeda, geasset eahkes, geasseeahket:d"
"kesäinen sää keväällä tai syksyllä","geasádat"
"kesäinen","geas'sá/i (-s), geasselágan, -ss-#Ø, sää (keväällä, geasse-, kesäinen sää keväällä tai syksyllä geasádat, syksyllä) geasádat, geasas, tulla kesäise(mmä)ksi geassut, geasas (-)"
"kesäinen","geasˈsái"
"kesäkausi","geassebodda; oli poissa kesäkauden jávkkai geassebotta, geassebadji, geassebadji; geassebodda, viipyi poissa kesäkauden jávkkai geassebotta"
"kesäkkä (kesällä syntynyt poronvasa tai karitsa), kesonen","geaset"
"kesakko","caihmi ~ cáihni, čáihni, čáđbmi, čáđbmi, čáihmi"
"kesakko, pisama","čáihmi"
"kesakko, pisama","čáđbmi"
"kesakkoinen, pisamainen","čáihmái"
"kesakkoinen, pisamainen","čáđbmái"
"kesäkurpitsa","geassegurbbet"
"kesäkuu","geassemánnu"
"kesäkuu","junii"
"kesälaidun","geasseguohtun"
"kesäleiri","geasseleaira"
"kesällä","geasset ~ geassit, geassit ~ geasset"
"kesällä","geasset"
"kesäloma","geasseluopmu"
"kesämaa (sula maa)","geasseeana(n); (ei lunta) bievla"
"kesämaa","bievla"
"kesämaksaruoho","uhca bulljelasta"
"kesämökki","geassebarta, geassestohpu, geassestohpu ~ -barta"
"kesän yli säilytetty, ylivuotinen, eltaantunut","goasttis"
"kesannointi","gilvvekeahtta doallan"
"kesanto","pelto on kesantona gieddi lea gilvvekeahttá, pelto on kesantona bealdu lea gilvvekeahttá"
"kesäpaikka","geassesadji, geassebáiki; (perinteisessä poronhoidossa) geasseorohat"
"kesäpäivä","geassebeaivi"
"kesäpäivänseisaus","geassejorggáldat"
"kesäpuku (linnulla, eläimellä)","geassefárda"
"kesärengas","geasseriekkis, -ggá-:Ø, geasseriekkis (S), geassedeahkka (N)"
"kesätti(valjaat)","geasis"
"kesätyö","geassebargu"
"kesävihanta","geasseruonas"
"kesäyliopisto","geasseuniversiteahtta ~ geasseuniversitehta"
"kesäyö","geasseidja, kesäöinä geasseijaid, geasseidja; kesäyönä geasseija"
"kesemmäksi","geasibui, geasselii, geasselebbui"
"kesemmäs","geasibui"
"kesemmäs","geasibui, geasselebbui"
"kesemmäs","geasselebbui"
"kesempänä","geasibus"
"kesempänä","geasseleappos, geasselis, geasibus"
"kesempänä","geasselis"
"kesi","assi"
"kesikkäin, kesipuolet, kedet yhteen (taljoista)","assálaga"
"kesipuoli","asibealli"
"keskeinen","-guovddášlaš"
"keskeinen","guovddáš, guovddáš-, guovddášlaš"
"keskeisimmät oikeusjärjestelmät","váldo vuoigatvuođavuogádagat"
"keskellä (esim. kesää, talvea)","-guovdil"
"keskellä","guovddáš"
"keskellä","guovdelaš"
"keskellä","keskellä venettä gasku fatnasa, (puolessavälissä) gasku; keskellä järveä guovdu jávrri, guovdu"
"keskellä, keskeltä, keskelle (keskiviivalla, -viivalta, -viivalle tai keskipisteessä, -pisteestä, -pisteeseen); jkta kohtaan, jkn suhteen","guovdu"
"keskellä, puolivälissä","gasku"
"keskellä,","keskellä pyhiä guovddáš basiid, keskellä talvea dálveguavdil; (puolivälissä) gasku, keskellä järveä guavdu jávrri; (ajallisesti) guovddáš, -lta tai keskipisteessä;-stä) guovdu, -tä (keskiviivalla, keskellä venettä gasku fatnasa, keskellä markkinoita guovddáš márkaniid, keskellä kesää geasseguovdil, keskellä venettä guovdu fatnasa"
"keskelle","guovdu; (puoliväliin) gasku; (keskuuteen) sisa, keskelle venettä gasku fatnasa, (puoleenväliin) gasku; keskelle järveä guovdu jávrri, ihmisten keskelle olbmuid sisa, guovdu"
"keskemmäksi","guovdelii, guovdoleppožii, guovdolii, guovdelebbui, guovdolebbui; vähän keskemmäksi guovdeleppožii"
"keskemmäs","guovdolebbui, guavdolii"
"keskempänä","guovdolis, guovdoleppožis, guovdeleappos, guovdoleappos; vähän kesempänä guovdeloppožis, guovdelis"
"keskempänä, keskempää","guovdelis"
"keskempänä,","guovdolis, -ä guovdoleappos"
"kesken","työ jäi kesken bargu bázii gaskan; kahden kesken guovttá gaskan, kahden kesken guovttá gaskan, gaskan; kesken työn gaskan barggu, kesken työn gaskan barggu, kesken syönnin gaskan bora(dettlin), työ jäi kesken bargu bázii gaskan, gaskan, kesken syönnin gaskan bora"
"kesken, keskentekoisena","gaskabazaldagas"
"kesken; keskeneräinen, keskentekoinen","gaskan"
"keskenämme,","-ttet, -ska (du.), gaskaneamet, -tte, -än gaskaneame, -nne, -set (pl.)"
"keskeneräinen","gaskan, gaskan-, gaskandaga"
"keskenkasvuinen","keskenkasvuisena gaskanšatta, keskenkasvuisena beallešattus, beallešattus, beallešattot:g"
"keskenmeno (eläimistä)","saada keskenmeno reitot"
"keskenmeno (naisesta)","saada keskenmeno cuovkanit"
"keskenmeno","saada keskenmeno cuavkanit"
"keskentekoinen","gaskandaga-, gaskandaga, bealledagus, keskentekoisena bealledagus, keskentekoisena gaskandaga, gaskan, gaskan-"
"keskeyttää","gaskaluhttit"
"keskeyttää","gaskaluhttit, heaitit (intr.), gaskkalduhttit; (lopettaa) botket (tr.), guođđit gaskan, gaskkalduhttit"
"keskeyttää","gaskkalduhttit"
"keskeytyä","gaskaluvvat"
"keskeytyä","gaskaluvvat, gaskkalduvvat, báhcit gaskan"
"keskeytyä","gaskkalduvvat"
"keskeytys","keskeytyksettä gaskkalduvakeahttá, gaskkaldupmi, gaskaluhttin; keskeytyksettä gaskkalduvakeahttá"
"keski-","gaska-"
"keski-ikä","gaskaahki"
"keski-ikäinen","gaskaahkásaš"
"keskiaika","gaskaáigi"
"keskiaikainen","gaskaáigásaš"
"keskiaivot (pl.)","guovdavuoigŋašat (pl.)"
"keskiarvo","gaskaárvu"
"keskikaari (veneessä)","gaskarággu"
"keskikaupunki","guovdagávpot, guovdagávpot:g"
"keskikenttä (jalkapallossa)","gaskašillju"
